date,player1,player2,winner,score,tournament,level,country1,country2
2022-10-10,Lin Gaoyuan,Quadri Aruna,Lin Gaoyuan,4-1,WTT Contender Muscat,contender,CHN,NGR
2022-10-11,Liang Jingkun,Dimitrij Ovtcharov,Liang Jingkun,4-2,WTT Contender Muscat,contender,CHN,GER
2022-10-11,Patrick Franziska,Lin Gaoyuan,Lin Gaoyuan,4-3,WTT Contender Muscat,contender,GER,CHN
2022-10-12,Liang Jingkun,Lin Gaoyuan,Liang Jingkun,4-1,WTT Contender Muscat,contender,CHN,CHN
2022-11-08,Fan Zhendong,Truls Moregardh,Fan Zhendong,4-1,WTT Finals Nagoya,major,CHN,SWE
2022-11-08,Wang Chuqin,Tomokazu Harimoto,Wang Chuqin,4-2,WTT Finals Nagoya,major,CHN,JPN
2022-11-09,Ma Long,Hugo Calderano,Hugo Calderano,4-3,WTT Finals Nagoya,major,CHN,BRA
2022-11-09,Liang Jingkun,Jang Woojin,Liang Jingkun,4-1,WTT Finals Nagoya,major,CHN,KOR
2022-11-10,Fan Zhendong,Hugo Calderano,Fan Zhendong,4-2,WTT Finals Nagoya,major,CHN,BRA
2022-11-10,Wang Chuqin,Liang Jingkun,Wang Chuqin,4-1,WTT Finals Nagoya,major,CHN,CHN
2022-11-11,Fan Zhendong,Wang Chuqin,Wang Chuqin,4-3,WTT Finals Nagoya,major,CHN,CHN
2023-01-15,Fan Zhendong,Jang Woojin,Fan Zhendong,4-1,WTT Champions Incheon,major,CHN,KOR
2023-01-15,Wang Chuqin,Lin Shidong,Wang Chuqin,4-0,WTT Champions Incheon,major,CHN,CHN
2023-01-16,Ma Long,Dimitrij Ovtcharov,Ma Long,4-2,WTT Champions Incheon,major,CHN,GER
2023-01-16,Hugo Calderano,Tomokazu Harimoto,Hugo Calderano,4-3,WTT Champions Incheon,major,BRA,JPN
2023-01-17,Fan Zhendong,Hugo Calderano,Fan Zhendong,4-2,WTT Champions Incheon,major,CHN,BRA
2023-01-17,Wang Chuqin,Ma Long,Wang Chuqin,4-1,WTT Champions Incheon,major,CHN,CHN
2023-01-18,Fan Zhendong,Wang Chuqin,Wang Chuqin,4-2,WTT Champions Incheon,major,CHN,CHN
2023-02-10,Tomokazu Harimoto,Patrick Franziska,Tomokazu Harimoto,4-1,WTT Contender Antalya,contender,JPN,GER
2023-02-10,Quadri Aruna,Timo Boll,Quadri Aruna,4-2,WTT Contender Antalya,contender,NGR,GER
2023-02-11,Lin Gaoyuan,Quadri Aruna,Lin Gaoyuan,4-1,WTT Contender Antalya,contender,CHN,NGR
2023-02-11,Dimitrij Ovtcharov,Tomokazu Harimoto,Tomokazu Harimoto,4-3,WTT Contender Antalya,contender,GER,JPN
2023-02-12,Tomokazu Harimoto,Lin Gaoyuan,Tomokazu Harimoto,4-2,WTT Contender Antalya,contender,JPN,CHN
2023-03-20,Fan Zhendong,Truls Moregardh,Fan Zhendong,4-0,WTT Star Contender Goa,contender,CHN,SWE
2023-03-20,Wang Chuqin,Liang Jingkun,Wang Chuqin,4-2,WTT Star Contender Goa,contender,CHN,CHN
2023-03-21,Ma Long,Jang Woojin,Ma Long,4-1,WTT Star Contender Goa,contender,CHN,KOR
2023-03-21,Hugo Calderano,Dimitrij Ovtcharov,Hugo Calderano,4-2,WTT Star Contender Goa,contender,BRA,GER
2023-03-22,Fan Zhendong,Hugo Calderano,Fan Zhendong,4-1,WTT Star Contender Goa,contender,CHN,BRA
2023-03-22,Wang Chuqin,Ma Long,Wang Chuqin,4-3,WTT Star Contender Goa,contender,CHN,CHN
2023-03-23,Fan Zhendong,Wang Chuqin,Fan Zhendong,4-2,WTT Star Contender Goa,contender,CHN,CHN
2023-05-01,Lin Gaoyuan,Patrick Franziska,Lin Gaoyuan,4-1,WTT Contender Rio,contender,CHN,GER
2023-05-01,Hugo Calderano,Quadri Aruna,Hugo Calderano,4-0,WTT Contender Rio,contender,BRA,NGR
2023-05-02,Liang Jingkun,Lin Gaoyuan,Lin Gaoyuan,4-3,WTT Contender Rio,contender,CHN,CHN
2023-05-02,Hugo Calderano,Timo Boll,Hugo Calderano,4-1,WTT Contender Rio,contender,BRA,GER
2023-05-03,Hugo Calderano,Lin Gaoyuan,Hugo Calderano,4-2,WTT Contender Rio,contender,BRA,CHN
2023-05-25,Fan Zhendong,Tomokazu Harimoto,Fan Zhendong,4-1,ITTF World Championships Durban,grand_slam,CHN,JPN
2023-05-25,Wang Chuqin,Ma Long,Wang Chuqin,4-2,ITTF World Championships Durban,grand_slam,CHN,CHN
2023-05-24,Tomokazu Harimoto,Hugo Calderano,Tomokazu Harimoto,4-3,ITTF World Championships Durban,grand_slam,JPN,BRA
2023-05-24,Ma Long,Liang Jingkun,Ma Long,4-2,ITTF World Championships Durban,grand_slam,CHN,CHN
2023-05-23,Hugo Calderano,Dimitrij Ovtcharov,Hugo Calderano,4-1,ITTF World Championships Durban,grand_slam,BRA,GER
2023-05-23,Liang Jingkun,Truls Moregardh,Liang Jingkun,4-2,ITTF World Championships Durban,grand_slam,CHN,SWE
2023-05-22,Fan Zhendong,Jang Woojin,Fan Zhendong,4-0,ITTF World Championships Durban,grand_slam,CHN,KOR
2023-05-22,Wang Chuqin,Lin Shidong,Wang Chuqin,4-1,ITTF World Championships Durban,grand_slam,CHN,CHN
2023-05-26,Fan Zhendong,Wang Chuqin,Fan Zhendong,4-2,ITTF World Championships Durban,grand_slam,CHN,CHN
2023-07-10,Wang Chuqin,Truls Moregardh,Wang Chuqin,4-1,WTT Contender Lima,contender,CHN,SWE
2023-07-10,Lin Gaoyuan,Jang Woojin,Jang Woojin,4-3,WTT Contender Lima,contender,CHN,KOR
2023-07-11,Liang Jingkun,Jang Woojin,Liang Jingkun,4-2,WTT Contender Lima,contender,CHN,KOR
2023-07-11,Wang Chuqin,Dimitrij Ovtcharov,Wang Chuqin,4-0,WTT Contender Lima,contender,CHN,GER
2023-07-12,Wang Chuqin,Liang Jingkun,Wang Chuqin,4-1,WTT Contender Lima,contender,CHN,CHN
2023-09-05,Fan Zhendong,Patrick Franziska,Fan Zhendong,4-0,WTT Champions Frankfurt,major,CHN,GER
2023-09-05,Wang Chuqin,Quadri Aruna,Wang Chuqin,4-1,WTT Champions Frankfurt,major,CHN,NGR
2023-09-06,Ma Long,Truls Moregardh,Ma Long,4-2,WTT Champions Frankfurt,major,CHN,SWE
2023-09-06,Tomokazu Harimoto,Hugo Calderano,Tomokazu Harimoto,4-3,WTT Champions Frankfurt,major,JPN,BRA
2023-09-07,Fan Zhendong,Tomokazu Harimoto,Fan Zhendong,4-2,WTT Champions Frankfurt,major,CHN,JPN
2023-09-07,Wang Chuqin,Ma Long,Wang Chuqin,4-1,WTT Champions Frankfurt,major,CHN,CHN
2023-09-08,Fan Zhendong,Wang Chuqin,Wang Chuqin,4-3,WTT Champions Frankfurt,major,CHN,CHN
2023-10-15,Hugo Calderano,Dimitrij Ovtcharov,Hugo Calderano,4-2,WTT Contender Almaty,contender,BRA,GER
2023-10-15,Liang Jingkun,Timo Boll,Liang Jingkun,4-1,WTT Contender Almaty,contender,CHN,GER
2023-10-16,Lin Gaoyuan,Jang Woojin,Lin Gaoyuan,4-3,WTT Contender Almaty,contender,CHN,KOR
2023-10-16,Hugo Calderano,Liang Jingkun,Hugo Calderano,4-2,WTT Contender Almaty,contender,BRA,CHN
2023-10-17,Hugo Calderano,Lin Gaoyuan,Hugo Calderano,4-1,WTT Contender Almaty,contender,BRA,CHN
2023-11-20,Fan Zhendong,Jang Woojin,Fan Zhendong,4-1,WTT Finals Nagoya,major,CHN,KOR
2023-11-20,Wang Chuqin,Tomokazu Harimoto,Wang Chuqin,4-2,WTT Finals Nagoya,major,CHN,JPN
2023-11-21,Ma Long,Lin Shidong,Ma Long,4-1,WTT Finals Nagoya,major,CHN,CHN
2023-11-21,Hugo Calderano,Liang Jingkun,Liang Jingkun,4-3,WTT Finals Nagoya,major,CHN,BRA
2023-11-22,Fan Zhendong,Ma Long,Fan Zhendong,4-2,WTT Finals Nagoya,major,CHN,CHN
2023-11-22,Wang Chuqin,Liang Jingkun,Wang Chuqin,4-1,WTT Finals Nagoya,major,CHN,CHN
2023-11-23,Fan Zhendong,Wang Chuqin,Wang Chuqin,4-3,WTT Finals Nagoya,major,CHN,CHN
2024-01-20,Fan Zhendong,Hugo Calderano,Fan Zhendong,4-2,WTT Champions Incheon,major,CHN,BRA
2024-01-20,Wang Chuqin,Lin Shidong,Wang Chuqin,4-1,WTT Champions Incheon,major,CHN,CHN
2024-01-21,Ma Long,Tomokazu Harimoto,Ma Long,4-3,WTT Champions Incheon,major,CHN,JPN
2024-01-21,Liang Jingkun,Jang Woojin,Liang Jingkun,4-2,WTT Champions Incheon,major,CHN,KOR
2024-01-22,Fan Zhendong,Liang Jingkun,Fan Zhendong,4-1,WTT Champions Incheon,major,CHN,CHN
2024-01-22,Wang Chuqin,Ma Long,Wang Chuqin,4-2,WTT Champions Incheon,major,CHN,CHN
2024-01-23,Fan Zhendong,Wang Chuqin,Wang Chuqin,4-3,WTT Champions Incheon,major,CHN,CHN
2024-02-15,Lin Gaoyuan,Patrick Franziska,Lin Gaoyuan,4-1,WTT Contender Lagos,contender,CHN,GER
2024-02-15,Quadri Aruna,Timo Boll,Quadri Aruna,4-3,WTT Contender Lagos,contender,NGR,GER
2024-02-16,Dimitrij Ovtcharov,Quadri Aruna,Dimitrij Ovtcharov,4-2,WTT Contender Lagos,contender,GER,NGR
2024-02-16,Truls Moregardh,Lin Gaoyuan,Truls Moregardh,4-3,WTT Contender Lagos,contender,SWE,CHN
2024-02-17,Truls Moregardh,Dimitrij Ovtcharov,Truls Moregardh,4-2,WTT Contender Lagos,contender,SWE,GER
2024-03-10,Fan Zhendong,Dimitrij Ovtcharov,Fan Zhendong,4-0,WTT Star Contender Doha,contender,CHN,GER
2024-03-10,Wang Chuqin,Truls Moregardh,Wang Chuqin,4-1,WTT Star Contender Doha,contender,CHN,SWE
2024-03-11,Ma Long,Jang Woojin,Ma Long,4-2,WTT Star Contender Doha,contender,CHN,KOR
2024-03-11,Tomokazu Harimoto,Liang Jingkun,Tomokazu Harimoto,4-3,WTT Star Contender Doha,contender,JPN,CHN
2024-03-12,Fan Zhendong,Tomokazu Harimoto,Fan Zhendong,4-2,WTT Star Contender Doha,contender,CHN,JPN
2024-03-12,Wang Chuqin,Ma Long,Wang Chuqin,4-1,WTT Star Contender Doha,contender,CHN,CHN
2024-03-13,Fan Zhendong,Wang Chuqin,Fan Zhendong,4-2,WTT Star Contender Doha,contender,CHN,CHN
2024-04-20,Hugo Calderano,Lin Gaoyuan,Hugo Calderano,4-2,WTT Contender Bangkok,contender,BRA,CHN
2024-04-20,Liang Jingkun,Patrick Franziska,Liang Jingkun,4-1,WTT Contender Bangkok,contender,CHN,GER
2024-04-21,Jang Woojin,Quadri Aruna,Jang Woojin,4-2,WTT Contender Bangkok,contender,KOR,NGR
2024-04-21,Hugo Calderano,Liang Jingkun,Liang Jingkun,4-3,WTT Contender Bangkok,contender,BRA,CHN
2024-04-22,Liang Jingkun,Jang Woojin,Liang Jingkun,4-1,WTT Contender Bangkok,contender,CHN,KOR
2024-05-15,Fan Zhendong,Truls Moregardh,Fan Zhendong,4-0,WTT Champions Chongqing,major,CHN,SWE
2024-05-15,Wang Chuqin,Jang Woojin,Wang Chuqin,4-2,WTT Champions Chongqing,major,CHN,KOR
2024-05-16,Ma Long,Hugo Calderano,Hugo Calderano,4-3,WTT Champions Chongqing,major,CHN,BRA
2024-05-16,Tomokazu Harimoto,Liang Jingkun,Liang Jingkun,4-3,WTT Champions Chongqing,major,JPN,CHN
2024-05-17,Fan Zhendong,Liang Jingkun,Fan Zhendong,4-1,WTT Champions Chongqing,major,CHN,CHN
2024-05-17,Wang Chuqin,Hugo Calderano,Wang Chuqin,4-2,WTT Champions Chongqing,major,CHN,BRA
2024-05-18,Fan Zhendong,Wang Chuqin,Wang Chuqin,4-3,WTT Champions Chongqing,major,CHN,CHN
2024-07-28,Fan Zhendong,Truls Moregardh,Fan Zhendong,4-0,Olympic Games Paris,grand_slam,CHN,SWE
2024-07-28,Wang Chuqin,Dimitrij Ovtcharov,Wang Chuqin,4-1,Olympic Games Paris,grand_slam,CHN,GER
2024-07-29,Ma Long,Hugo Calderano,Ma Long,4-2,Olympic Games Paris,grand_slam,CHN,BRA
2024-07-29,Tomokazu Harimoto,Jang Woojin,Tomokazu Harimoto,4-3,Olympic Games Paris,grand_slam,JPN,KOR
2024-07-30,Fan Zhendong,Tomokazu Harimoto,Fan Zhendong,4-2,Olympic Games Paris,grand_slam,CHN,JPN
2024-07-30,Wang Chuqin,Ma Long,Wang Chuqin,4-1,Olympic Games Paris,grand_slam,CHN,CHN
2024-07-31,Fan Zhendong,Wang Chuqin,Fan Zhendong,4-3,Olympic Games Paris,grand_slam,CHN,CHN
2024-09-10,Hugo Calderano,Dimitrij Ovtcharov,Hugo Calderano,4-1,WTT Contender Almaty,contender,BRA,GER
2024-09-10,Liang Jingkun,Quadri Aruna,Liang Jingkun,4-2,WTT Contender Almaty,contender,CHN,NGR
2024-09-11,Lin Gaoyuan,Patrick Franziska,Lin Gaoyuan,4-1,WTT Contender Almaty,contender,CHN,GER
2024-09-11,Truls Moregardh,Timo Boll,Truls Moregardh,4-2,WTT Contender Almaty,contender,SWE,GER
2024-09-12,Hugo Calderano,Lin Gaoyuan,Hugo Calderano,4-3,WTT Contender Almaty,contender,BRA,CHN
2024-09-12,Liang Jingkun,Truls Moregardh,Liang Jingkun,4-1,WTT Contender Almaty,contender,CHN,SWE
2024-09-13,Liang Jingkun,Hugo Calderano,Hugo Calderano,4-3,WTT Contender Almaty,contender,CHN,BRA
2024-10-20,Fan Zhendong,Lin Shidong,Fan Zhendong,4-0,WTT Champions Montpellier,major,CHN,CHN
2024-10-20,Wang Chuqin,Tomokazu Harimoto,Wang Chuqin,4-2,WTT Champions Montpellier,major,CHN,JPN
2024-10-21,Ma Long,Truls Moregardh,Ma Long,4-1,WTT Champions Montpellier,major,CHN,SWE
2024-10-21,Hugo Calderano,Jang Woojin,Jang Woojin,4-3,WTT Champions Montpellier,major,BRA,KOR
2024-10-22,Fan Zhendong,Ma Long,Fan Zhendong,4-2,WTT Champions Montpellier,major,CHN,CHN
2024-10-22,Wang Chuqin,Jang Woojin,Wang Chuqin,4-1,WTT Champions Montpellier,major,CHN,KOR
2024-10-23,Fan Zhendong,Wang Chuqin,Fan Zhendong,4-3,WTT Champions Montpellier,major,CHN,CHN
2024-11-15,Fan Zhendong,Jang Woojin,Fan Zhendong,4-1,WTT Finals Fukuoka,major,CHN,KOR
2024-11-15,Wang Chuqin,Hugo Calderano,Wang Chuqin,4-2,WTT Finals Fukuoka,major,CHN,BRA
2024-11-16,Ma Long,Liang Jingkun,Ma Long,4-3,WTT Finals Fukuoka,major,CHN,CHN
2024-11-16,Tomokazu Harimoto,Truls Moregardh,Tomokazu Harimoto,4-2,WTT Finals Fukuoka,major,JPN,SWE
2024-11-17,Fan Zhendong,Tomokazu Harimoto,Fan Zhendong,4-1,WTT Finals Fukuoka,major,CHN,JPN
2024-11-17,Wang Chuqin,Ma Long,Wang Chuqin,4-2,WTT Finals Fukuoka,major,CHN,CHN
2024-11-18,Fan Zhendong,Wang Chuqin,Wang Chuqin,4-3,WTT Finals Fukuoka,major,CHN,CHN
2024-12-05,Lin Gaoyuan,Timo Boll,Lin Gaoyuan,4-1,WTT Feeder Dusseldorf,regular,CHN,GER
2024-12-05,Patrick Franziska,Quadri Aruna,Patrick Franziska,4-2,WTT Feeder Dusseldorf,regular,GER,NGR
2024-12-06,Dimitrij Ovtcharov,Lin Gaoyuan,Dimitrij Ovtcharov,4-3,WTT Feeder Dusseldorf,regular,GER,CHN
2024-12-06,Patrick Franziska,Truls Moregardh,Truls Moregardh,4-2,WTT Feeder Dusseldorf,regular,GER,SWE
2024-12-07,Truls Moregardh,Dimitrij Ovtcharov,Truls Moregardh,4-1,WTT Feeder Dusseldorf,regular,SWE,GER
2025-01-18,Fan Zhendong,Tomokazu Harimoto,Fan Zhendong,4-2,WTT Champions Macao,major,CHN,JPN
2025-01-18,Wang Chuqin,Liang Jingkun,Wang Chuqin,4-1,WTT Champions Macao,major,CHN,CHN
2025-01-19,Ma Long,Hugo Calderano,Hugo Calderano,4-3,WTT Champions Macao,major,CHN,BRA
2025-01-19,Lin Shidong,Jang Woojin,Lin Shidong,4-2,WTT Champions Macao,major,CHN,KOR
2025-01-20,Fan Zhendong,Lin Shidong,Fan Zhendong,4-1,WTT Champions Macao,major,CHN,CHN
2025-01-20,Wang Chuqin,Hugo Calderano,Wang Chuqin,4-2,WTT Champions Macao,major,CHN,BRA
2025-01-21,Fan Zhendong,Wang Chuqin,Fan Zhendong,4-3,WTT Champions Macao,major,CHN,CHN
2025-02-10,Dimitrij Ovtcharov,Patrick Franziska,Dimitrij Ovtcharov,4-2,WTT Contender Beirut,contender,GER,GER
2025-02-10,Quadri Aruna,Timo Boll,Quadri Aruna,4-3,WTT Contender Beirut,contender,NGR,GER
2025-02-11,Truls Moregardh,Quadri Aruna,Truls Moregardh,4-1,WTT Contender Beirut,contender,SWE,NGR
2025-02-11,Lin Gaoyuan,Dimitrij Ovtcharov,Lin Gaoyuan,4-2,WTT Contender Beirut,contender,CHN,GER
2025-02-12,Lin Gaoyuan,Truls Moregardh,Lin Gaoyuan,4-3,WTT Contender Beirut,contender,CHN,SWE
2025-03-15,Fan Zhendong,Quadri Aruna,Fan Zhendong,4-0,WTT Star Contender Bangkok,contender,CHN,NGR
2025-03-15,Wang Chuqin,Dimitrij Ovtcharov,Wang Chuqin,4-1,WTT Star Contender Bangkok,contender,CHN,GER
2025-03-16,Tomokazu Harimoto,Jang Woojin,Tomokazu Harimoto,4-2,WTT Star Contender Bangkok,contender,JPN,KOR
2025-03-16,Liang Jingkun,Truls Moregardh,Liang Jingkun,4-3,WTT Star Contender Bangkok,contender,CHN,SWE
2025-03-17,Fan Zhendong,Liang Jingkun,Fan Zhendong,4-1,WTT Star Contender Bangkok,contender,CHN,CHN
2025-03-17,Wang Chuqin,Tomokazu Harimoto,Wang Chuqin,4-2,WTT Star Contender Bangkok,contender,CHN,JPN
2025-03-18,Fan Zhendong,Wang Chuqin,Fan Zhendong,4-2,WTT Star Contender Bangkok,contender,CHN,CHN
