date,player1,player2,winner,score,sets_detail,tournament,level,country1,country2
2026-03-31,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-31,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-31,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-31,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-30,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-30,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-30,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-30,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-30,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-30,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-30,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-30,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-30,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-30,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-30,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-30,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-30,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-30,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-30,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-29,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-29,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-29,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-29,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-29,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-29,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-29,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-29,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-29,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-29,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-29,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-29,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-29,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-29,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-29,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-28,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-28,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-28,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-28,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-28,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-28,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-28,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-28,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-28,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-28,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-28,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-28,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-28,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-28,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-28,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-27,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-27,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-27,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-27,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-27,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-27,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-27,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-27,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-27,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-27,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-27,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-27,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-27,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-27,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-27,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-26,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-26,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-26,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-26,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-26,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-26,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-26,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-26,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-26,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-26,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-26,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-26,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-26,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-26,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-26,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-25,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-25,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-25,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-25,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-25,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-25,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-25,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-25,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-25,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
2026-03-25,Men S.,Deng Z.,Men S.,3-0,"11-9,11-7,12-10",,regular,,
2026-03-25,Tee A. X.,Chang L. S. A.,Tee A. X.,3-0,"11-5,11-8,11-6",,regular,,
2026-03-25,Wong H. T.,Lee K. M. H.,Lee K. M. H.,2-3,"5-11,11-7,4-11,15-13,7-11",,regular,,
2026-03-25,Liu Z.,Zhang Y.,Liu Z.,3-1,"11-7,11-6,8-11,11-6",,regular,,
2026-03-25,Feng Y.,Wang X.,Feng Y.,3-2,"10-12,14-12,4-11,11-6,17-15",,regular,,
2026-03-25,Lyne K.,Kong T. L.,Lyne K.,3-1,"5-11,14-12,12-10,11-9",,regular,,
2026-03-24,Omotayo O.,Chua J. S. H.,Chua J. S. H.,0-3,"0-11,0-11,0-11",,regular,,
2026-03-24,Soiphuang N.,Mekamporn N.,Soiphuang N.,3-2,"9-11,9-11,13-11,11-9,11-9",,regular,,
2026-03-24,Yoshimura M.,Malik Y.,Yoshimura M.,3-0,"11-8,11-7,11-3",,regular,,
2026-03-24,Sakai Y.,Ruiz R.,Sakai Y.,3-2,"11-8,13-11,5-11,4-11,13-11",,regular,,
2026-03-24,Aida S.,Woo H.,Aida S.,3-1,"11-2,11-5,7-11,11-9",,regular,,
2026-03-24,Pang Y. E. K.,Ho Kwan K.,Pang Y. E. K.,3-1,"11-5,11-9,8-11,11-8",,regular,,
2026-03-24,Li H.,Kwan M. H.,Li H.,3-2,"11-8,9-11,10-12,11-5,12-10",,regular,,
2026-03-24,Takamori M.,Yang H.,Yang H.,2-3,"11-8,8-11,4-11,11-7,7-11",,regular,,
2026-03-24,Li J.,Jiang Y.,Li J.,3-1,"11-8,11-8,6-11,11-6",,regular,,
